,,Demand
sc03,01-16 07:00:00+01:00,4175.799
sc03,01-16 08:00:00+01:00,4369.153
sc03,01-16 09:00:00+01:00,4428.454
sc03,01-16 10:00:00+01:00,4405.116
sc03,01-16 11:00:00+01:00,4328.839
sc03,01-16 12:00:00+01:00,4192.946
sc03,01-16 13:00:00+01:00,4042.582
sc03,01-16 14:00:00+01:00,3972.938
sc03,01-16 15:00:00+01:00,3973.779
sc03,01-16 16:00:00+01:00,4114.893
sc03,01-16 17:00:00+01:00,4381.739
sc03,01-16 18:00:00+01:00,4602.654
sc03,01-16 19:00:00+01:00,4565.644
sc03,01-16 20:00:00+01:00,4192.108
sc03,01-16 21:00:00+01:00,3696.675
sc03,01-16 22:00:00+01:00,3457.727
sc03,01-16 23:00:00+01:00,2918.726
sc03,01-17 00:00:00+01:00,2781.151
sc03,01-17 01:00:00+01:00,2688.042
sc03,01-17 02:00:00+01:00,2612.836
sc03,01-17 03:00:00+01:00,2676.531
sc03,01-17 04:00:00+01:00,2910.701
sc03,01-17 05:00:00+01:00,3343.186
sc03,01-17 06:00:00+01:00,3781.706
sc03,01-17 07:00:00+01:00,4074.208
sc03,01-17 08:00:00+01:00,4236.577
sc03,01-17 09:00:00+01:00,4271.958
sc03,01-17 10:00:00+01:00,4228.956
sc03,01-17 11:00:00+01:00,4145.842
sc03,01-17 12:00:00+01:00,4014.751
sc03,01-17 13:00:00+01:00,3869.911
sc03,01-17 14:00:00+01:00,3805.628
sc03,01-17 15:00:00+01:00,3814.071
sc03,01-17 16:00:00+01:00,3971.893
sc03,01-17 17:00:00+01:00,4258.437
sc03,01-17 18:00:00+01:00,4487.346
sc03,01-17 19:00:00+01:00,4451.024
sc03,01-17 20:00:00+01:00,4088.297
sc03,01-17 21:00:00+01:00,3607.736
sc03,01-17 22:00:00+01:00,3384.677
sc03,01-17 23:00:00+01:00,2884.017
sc03,01-18 00:00:00+01:00,2752.892
sc03,01-18 01:00:00+01:00,2662.411
sc03,01-18 02:00:00+01:00,2587.024
sc03,01-18 03:00:00+01:00,2650.876
sc03,01-18 04:00:00+01:00,2872.016
sc03,01-18 05:00:00+01:00,3272.486
sc03,01-18 06:00:00+01:00,3691.721
sc03,01-18 07:00:00+01:00,3990.009
sc03,01-18 08:00:00+01:00,4164.576
sc03,01-18 09:00:00+01:00,4217.529
sc03,01-18 10:00:00+01:00,4192.172
sc03,01-18 11:00:00+01:00,4117.041
sc03,01-18 12:00:00+01:00,3987.646
sc03,01-18 13:00:00+01:00,3847.58
sc03,01-18 14:00:00+01:00,3786.426
sc03,01-18 15:00:00+01:00,3789.242
sc03,01-18 16:00:00+01:00,3921.296
sc03,01-18 17:00:00+01:00,4171.23
sc03,01-18 18:00:00+01:00,4376.636
sc03,01-18 19:00:00+01:00,4338.65
sc03,01-18 20:00:00+01:00,3983.336
sc03,01-18 21:00:00+01:00,3517.492
sc03,01-18 22:00:00+01:00,3312.009
sc03,01-18 23:00:00+01:00,2766.801
sc03,01-19 00:00:00+01:00,2653.01
sc03,01-19 01:00:00+01:00,2570.666
sc03,01-19 02:00:00+01:00,2496.376
sc03,01-19 03:00:00+01:00,2558.642
sc03,01-19 04:00:00+01:00,2756.985
sc03,01-19 05:00:00+01:00,3108.546
sc03,01-19 06:00:00+01:00,3485.925
sc03,01-19 07:00:00+01:00,3770.341
sc03,01-19 08:00:00+01:00,3953.673
sc03,01-19 09:00:00+01:00,4033.05
sc03,01-19 10:00:00+01:00,4036.812
sc03,01-19 11:00:00+01:00,3983.377
sc03,01-19 12:00:00+01:00,3876.078
sc03,01-19 13:00:00+01:00,3760.586
sc03,01-19 14:00:00+01:00,3712.381
sc03,01-19 15:00:00+01:00,3717.428
sc03,01-19 16:00:00+01:00,3836.117
sc03,01-19 17:00:00+01:00,4045.74
sc03,01-19 18:00:00+01:00,4200.742
sc03,01-19 19:00:00+01:00,4149.449
sc03,01-19 20:00:00+01:00,3812.977
sc03,01-19 21:00:00+01:00,3381.752
sc03,01-19 22:00:00+01:00,3204.922
sc03,01-19 23:00:00+01:00,2628.983
mean,01-13 00:00:00+01:00,2540.015
mean,01-13 01:00:00+01:00,2405.413
mean,01-13 02:00:00+01:00,2289.343
mean,01-13 03:00:00+01:00,2249.273
mean,01-13 04:00:00+01:00,2247.364
mean,01-13 05:00:00+01:00,2391.323
mean,01-13 06:00:00+01:00,2690.142
mean,01-13 07:00:00+01:00,3042.78
mean,01-13 08:00:00+01:00,3353.327
mean,01-13 09:00:00+01:00,3523.15
mean,01-13 10:00:00+01:00,3579.721
mean,01-13 11:00:00+01:00,3593.505
mean,01-13 12:00:00+01:00,3542.655
mean,01-13 13:00:00+01:00,3412.772
mean,01-13 14:00:00+01:00,3319.661
mean,01-13 15:00:00+01:00,3309.616
mean,01-13 16:00:00+01:00,3439.218
mean,01-13 17:00:00+01:00,3633.153
mean,01-13 18:00:00+01:00,3784.567
mean,01-13 19:00:00+01:00,3841.973
mean,01-13 20:00:00+01:00,3651.376
mean,01-13 21:00:00+01:00,3277.227
mean,01-13 22:00:00+01:00,3058.187
mean,01-13 23:00:00+01:00,2848.222
mean,01-14 00:00:00+01:00,2663.513
mean,01-14 01:00:00+01:00,2516.295
mean,01-14 02:00:00+01:00,2381.396
mean,01-14 03:00:00+01:00,2281.583
mean,01-14 04:00:00+01:00,2183.313
mean,01-14 05:00:00+01:00,2253.162
mean,01-14 06:00:00+01:00,2502.598
mean,01-14 07:00:00+01:00,2830.663
mean,01-14 08:00:00+01:00,3148.431
mean,01-14 09:00:00+01:00,3316.863
mean,01-14 10:00:00+01:00,3355.602
mean,01-14 11:00:00+01:00,3389.443
mean,01-14 12:00:00+01:00,3378.814
mean,01-14 13:00:00+01:00,3251.828
mean,01-14 14:00:00+01:00,3145.937
mean,01-14 15:00:00+01:00,3154.638
mean,01-14 16:00:00+01:00,3352.876
mean,01-14 17:00:00+01:00,3613.624
mean,01-14 18:00:00+01:00,3788.933
mean,01-14 19:00:00+01:00,3889.257
mean,01-14 20:00:00+01:00,3775.83
mean,01-14 21:00:00+01:00,3432.696
mean,01-14 22:00:00+01:00,3213.334
mean,01-14 23:00:00+01:00,2996.359
mean,01-15 00:00:00+01:00,2840.26
mean,01-15 01:00:00+01:00,2734.994
mean,01-15 02:00:00+01:00,2653.678
mean,01-15 03:00:00+01:00,2723.33
mean,01-15 04:00:00+01:00,2962.751
mean,01-15 05:00:00+01:00,3392.74
mean,01-15 06:00:00+01:00,3848.994
mean,01-15 07:00:00+01:00,4181.574
mean,01-15 08:00:00+01:00,4387.965
mean,01-15 09:00:00+01:00,4463.849
mean,01-15 10:00:00+01:00,4453.996
mean,01-15 11:00:00+01:00,4385.576
mean,01-15 12:00:00+01:00,4254.136
mean,01-15 13:00:00+01:00,4105.853
mean,01-15 14:00:00+01:00,4037.08
mean,01-15 15:00:00+01:00,4037.392
mean,01-15 16:00:00+01:00,4179.747
mean,01-15 17:00:00+01:00,4438.81
mean,01-15 18:00:00+01:00,4646.541
mean,01-15 19:00:00+01:00,4604.737
mean,01-15 20:00:00+01:00,4227.583
mean,01-15 21:00:00+01:00,3725.07
mean,01-15 22:00:00+01:00,3478.577
mean,01-15 23:00:00+01:00,2995.293
mean,01-16 00:00:00+01:00,2845.084
mean,01-16 01:00:00+01:00,2743.593
mean,01-16 02:00:00+01:00,2663.576
mean,01-16 03:00:00+01:00,2731.378
mean,01-16 04:00:00+01:00,2969.258
mean,01-16 05:00:00+01:00,3400.088
mean,01-16 06:00:00+01:00,3852.593
mean,01-16 07:00:00+01:00,4175.799
mean,01-16 08:00:00+01:00,4369.153
mean,01-16 09:00:00+01:00,4428.454
mean,01-16 10:00:00+01:00,4405.116
mean,01-16 11:00:00+01:00,4328.839
mean,01-16 12:00:00+01:00,4192.946
mean,01-16 13:00:00+01:00,4042.582
mean,01-16 14:00:00+01:00,3972.938
mean,01-16 15:00:00+01:00,3973.779
mean,01-16 16:00:00+01:00,4114.893
mean,01-16 17:00:00+01:00,4381.739
mean,01-16 18:00:00+01:00,4602.654
mean,01-16 19:00:00+01:00,4565.644
mean,01-16 20:00:00+01:00,4192.108
mean,01-16 21:00:00+01:00,3696.675
mean,01-16 22:00:00+01:00,3457.727
mean,01-16 23:00:00+01:00,2918.726
mean,01-17 00:00:00+01:00,2781.151
mean,01-17 01:00:00+01:00,2688.042
mean,01-17 02:00:00+01:00,2612.836
mean,01-17 03:00:00+01:00,2676.531
mean,01-17 04:00:00+01:00,2910.701
mean,01-17 05:00:00+01:00,3343.186
